"filename", "language", "JavaScript", "Markdown", "JSON", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\backend\README.md", "Markdown", 0, 4, 0, 0, 0, 0, 4, 8
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\backend\controllers\comments.js", "JavaScript", 89, 0, 0, 0, 0, 0, 10, 99
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\backend\controllers\genericControllers.js", "JavaScript", 37, 0, 0, 0, 0, 0, 4, 41
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\backend\controllers\majors.js", "JavaScript", 26, 0, 0, 0, 0, 0, 6, 32
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\backend\controllers\posts.js", "JavaScript", 128, 0, 0, 0, 0, 1, 14, 143
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\backend\controllers\users.js", "JavaScript", 247, 0, 0, 0, 0, 4, 34, 285
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\backend\db\db.js", "JavaScript", 3, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\backend\index.js", "JavaScript", 30, 0, 0, 0, 0, 0, 4, 34
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\backend\middleware\auth.js", "JavaScript", 20, 0, 0, 0, 0, 0, 4, 24
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\backend\middleware\error-handling\apiError400.js", "JavaScript", 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\backend\middleware\error-handling\apiError401.js", "JavaScript", 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\backend\middleware\error-handling\apiError403.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\backend\middleware\error-handling\apiError404.js", "JavaScript", 13, 0, 0, 0, 0, 1, 3, 17
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\backend\middleware\error-handling\apiError422.js", "JavaScript", 13, 0, 0, 0, 0, 1, 3, 17
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\backend\middleware\error-handling\baseError.js", "JavaScript", 11, 0, 0, 0, 0, 1, 4, 16
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\backend\middleware\error-handling\errorHandler.js", "JavaScript", 22, 0, 0, 0, 0, 0, 5, 27
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\backend\middleware\error-handling\httpStatusCodes.js", "JavaScript", 9, 0, 0, 0, 0, 1, 2, 12
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\backend\middleware\validation\commentValidation.js", "JavaScript", 20, 0, 0, 0, 0, 1, 3, 24
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\backend\middleware\validation\postValidation.js", "JavaScript", 20, 0, 0, 0, 0, 1, 3, 24
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\backend\middleware\validation\userValidation.js", "JavaScript", 6, 0, 0, 0, 0, 1, 2, 9
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\backend\models\comment.js", "JavaScript", 29, 0, 0, 0, 0, 1, 3, 33
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\backend\models\major.js", "JavaScript", 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\backend\models\post.js", "JavaScript", 39, 0, 0, 0, 0, 1, 3, 43
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\backend\models\user.js", "JavaScript", 51, 0, 0, 0, 0, 3, 3, 57
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\backend\package-lock.json", "JSON", 0, 0, 5224, 0, 0, 0, 1, 5225
